"Animal","Adjective","MeanRating","MeanSD"
"bear","brave",74.5333333333333,17.5984586576904
"bear","comforting",43.5333333333333,25.0898156743869
"bear","cowardly",13.1333333333333,13.3822665296752
"bear","friendly",33.9666666666667,25.3913959542548
"bear","funny",49.8,18.7384907205132
"bear","graceful",41.1,20.9964693255302
"bear","happy",50.1,22.5240867241853
"bear","honest",53.5,18.8839468405273
"bear","kind",46.3666666666667,21.8308281444215
"bear","lazy",47.7666666666667,21.8358821009465
"bear","loud",69.6666666666667,21.9534512773847
"bear","loyal",56.5,25.1680558343858
"bear","mean",58.3,19.9847355542277
"bear","patient",51.4333333333333,19.3171057540369
"bear","quiet",43.5666666666667,22.3617335293304
"bear","reliable",52.3333333333333,19.3770809041975
"bear","scary",84.8333333333333,14.6830498883232
"bear","sly",45.8333333333333,27.2473767586879
"bear","smart",76.1,14.7422685757186
"bear","sociable",42.8,26.8846835000257
"bear","strong",91.2333333333333,13.0507849766114
"bear","stubborn",58.7333333333333,20.2108426573347
"bear","weak",11,12.7197918005082
"bear","wise",63.2333333333333,15.9193730021508
"cat","brave",62.3333333333333,24.5881010377719
"cat","comforting",74.7,22.4409570144443
"cat","cowardly",34.1666666666667,28.1597454599259
"cat","friendly",67.9666666666667,23.9805716381398
"cat","funny",64.3333333333333,23.2443294283727
"cat","graceful",79.1333333333333,13.9574064712001
"cat","happy",62.6,22.4677546719738
"cat","honest",54.4,22.9506216578715
"cat","kind",52.3333333333333,24.3740016005372
"cat","lazy",78.2,15.0388003923644
"cat","loud",43.0333333333333,22.7133309379943
"cat","loyal",50.4,26.2568217736872
"cat","mean",61.1333333333333,22.2721928581953
"cat","patient",67.2333333333333,21.3213238466731
"cat","quiet",74.3,19.7975094219032
"cat","reliable",54.1333333333333,21.074143878931
"cat","scary",18.0333333333333,20.7654941459729
"cat","sly",68.8,19.2325155705751
"cat","smart",76.9,15.4659804643656
"cat","sociable",61.2666666666667,28.669259439016
"cat","strong",57,19.7344438954349
"cat","stubborn",70.5,20.5472542003162
"cat","weak",39.5333333333333,17.3159948648907
"cat","wise",67.0666666666667,22.2508168518532
"dog","brave",79.8,13.6543538591302
"dog","comforting",87.3666666666667,13.2287131110593
"dog","cowardly",32.1333333333333,23.9981800076206
"dog","friendly",89.8333333333333,13.630805206396
"dog","funny",69.6333333333333,17.9913453012032
"dog","graceful",56.7333333333333,20.9678462106303
"dog","happy",87.9333333333333,16.460890605925
"dog","honest",85.2333333333333,17.4961736375135
"dog","kind",80.2333333333333,18.15010845096
"dog","lazy",45.0666666666667,19.8649463113803
"dog","loud",69.8,15.3362316101447
"dog","loyal",90.1666666666667,12.5343206996749
"dog","mean",27.3333333333333,20.7702262590126
"dog","patient",62.8,22.8901424348923
"dog","quiet",38.5666666666667,22.0808597617052
"dog","reliable",87.6,11.2114473518872
"dog","scary",28.1666666666667,23.3638142453657
"dog","sly",36.1333333333333,24.6502896861111
"dog","smart",75.1666666666667,14.0640979296474
"dog","sociable",91.8333333333333,9.73824077199436
"dog","strong",72.9,15.0180351348086
"dog","stubborn",55.7666666666667,23.3262961473532
"dog","weak",28.1333333333333,16.2432656248957
"dog","wise",64.8666666666667,22.6376758483748
"dolphin","brave",64.7,20.1565425332955
"dolphin","comforting",76.1333333333333,16.6789839542799
"dolphin","cowardly",22.3333333333333,20.1705372936034
"dolphin","friendly",88.7333333333333,12.6951886985564
"dolphin","funny",67.1333333333333,18.6856635683217
"dolphin","graceful",84.3,13.9905140276768
"dolphin","happy",81.1333333333333,21.0364762575231
"dolphin","honest",72.8333333333333,22.2091676214302
"dolphin","kind",78,14.9481863736732
"dolphin","lazy",20.9333333333333,18.061071364971
"dolphin","loud",60.4333333333333,22.5613085542076
"dolphin","loyal",73.1333333333333,21.5226157449727
"dolphin","mean",21.6666666666667,20.6536852073347
"dolphin","patient",63.4333333333333,20.0579906397861
"dolphin","quiet",59.3333333333333,24.9818324792836
"dolphin","reliable",71.4,16.666298846516
"dolphin","scary",16.4333333333333,20.4208874361072
"dolphin","sly",38.2333333333333,26.1081085744129
"dolphin","smart",93.6,7.46763130057847
"dolphin","sociable",90.6333333333333,10.3606794256419
"dolphin","strong",69.0333333333333,18.5462763868139
"dolphin","stubborn",35.1666666666667,20.2588138900056
"dolphin","weak",23.9666666666667,18.2577018860786
"dolphin","wise",77.4,16.1770377920106
"elephant","brave",73.8666666666667,18.6616577844619
"elephant","comforting",64.4,21.530411530894
"elephant","cowardly",32.6666666666667,25.9818681249899
"elephant","friendly",78.4,17.0851821259202
"elephant","funny",48.2666666666667,21.676195959263
"elephant","graceful",54.8,25.5159179526334
"elephant","happy",67.6,16.2217393514446
"elephant","honest",72.6333333333333,16.2278673324907
"elephant","kind",72.5333333333333,16.8517538907795
"elephant","lazy",32.7333333333333,25.4272909771525
"elephant","loud",77.4333333333333,19.286735361889
"elephant","loyal",74.2666666666667,23.0545579805417
"elephant","mean",22.9666666666667,21.6404527540969
"elephant","patient",66.1,21.5764079334431
"elephant","quiet",41.6666666666667,24.2974857977519
"elephant","reliable",75.3666666666667,16.1511894156508
"elephant","scary",40.9333333333333,28.6295402462674
"elephant","sly",27.8666666666667,22.8604964699058
"elephant","smart",79.6666666666667,19.3164809626808
"elephant","sociable",78.0333333333333,22.8178443983761
"elephant","strong",90.2,15.6257965314213
"elephant","stubborn",57.6,25.3589404760721
"elephant","weak",10.3,12.4156464133797
"elephant","wise",81.0333333333333,14.1433140859324
"fox","brave",68.1,21.3740900189442
"fox","comforting",40.6,20.9903097511274
"fox","cowardly",42.9333333333333,28.3985591345677
"fox","friendly",37.6333333333333,21.6388592556322
"fox","funny",36.8,21.4064121879081
"fox","graceful",67.9,17.4896028227216
"fox","happy",53.1333333333333,17.9323120676603
"fox","honest",38.9666666666667,22.7497379042626
"fox","kind",40.4666666666667,21.7996098246218
"fox","lazy",36.9333333333333,22.8909458585453
